CUI,edit_score,mesh,ont_source,pref_name,term
C0013291,9,Duodenal Neoplasms,NCI,Duodenal Neoplasms,Duodenal Tumor
C0013291,14,Duodenal Neoplasms,NCI,Duodenal Neoplasms,Tumor of Duodenum
C0013291,17,Duodenal Neoplasms,NCI,Duodenal Neoplasms,Tumor of the Duodenum
C0013291,17,Duodenal Neoplasms,NCI,Duodenal Neoplasms,Neoplasm of Duodenum
C0013291,20,Duodenal Neoplasms,NCI,Duodenal Neoplasms,Neoplasm of the Duodenum
C0013292,0,Duodenal Obstruction,NCI,Duodenal Obstruction,Duodenal Obstruction
C0013292,21,Duodenal Obstruction,ICD10CM,Duodenal Obstruction,Obstruction of duodenum
C0013295,0,Duodenal Ulcer,NCI,Duodenal Ulcer,Duodenal Ulcer
C0013295,1,Duodenal Ulcer,ICD10CM,Duodenal Ulcer,Duodenal ulcer
C0013295,13,Duodenal Ulcer,ICD10CM,Duodenal Ulcer,duodenum ulcer (peptic)
C0013298,0,Duodenitis,ICD10CM,Duodenitis,Duodenitis
C0013298,0,Duodenitis,NCI,Duodenitis,Duodenitis
C0013312,0,Dupuytren Contracture,NCI,Dupuytren Contracture,Dupuytren Contracture
C0013312,2,Dupuytren Contracture,NCI,Dupuytren Contracture,Dupuytren's Contracture
C0013312,19,Dupuytren Contracture,NCI,Dupuytren Contracture,Palmar Fibromatosis
C0013312,33,Dupuytren Contracture,ICD10CM,Dupuytren Contracture,Palmar fascial fibromatosis [Dupuytren]
C0013336,0,Dwarfism,NCI,Dwarfism,Dwarfism
C0013336,25,Dwarfism,ICD10CM,Dwarfism,Constitutional short stature
C0013338,0,"Dwarfism, Pituitary",NCI,Pituitary Dwarfism,Pituitary Dwarfism
C0013338,21,"Dwarfism, Pituitary",ICD10CM,Pituitary Dwarfism,Lorain-Levi short stature
C0013338,31,"Dwarfism, Pituitary",ICD10CM,Pituitary Dwarfism,Isolated deficiency of growth hormone
C0013362,0,Dysarthria,NCI,Dysarthria,Dysarthria
C0013363,0,Primary Dysautonomias,NCI,Dysautonomia,Dysautonomia
C0013364,19,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial",Familial Dysautonomia
C0013364,20,"Dysautonomia, Familial",ICD10CM,"Dysautonomia, Familial",Familial dysautonomia [Riley-Day]
C0013364,20,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial",Riley-Day Syndrome
C0013364,21,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial",HSAN III
C0013364,21,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial",HSAN 3
C0013364,40,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial",Hereditary Sensory and Autonomic Neuropathy Type III
C0013364,42,"Dysautonomia, Familial",NCI,"Dysautonomia, Familial","Neuropathy, Hereditary Sensory and Autonomic, Type III"
C0013370,0,"Dysentery, Amebic",NCI,Amebic Colitis,Amebic Colitis
C0013377,0,Dysgerminoma,NCI,Dysgerminoma,Dysgerminoma
C0013378,0,Dysgeusia,NCI,Dysgeusia,Dysgeusia
C0013378,4,Dysgeusia,ICD10CM,Dysgeusia,Parageusia
C0013384,1,Dyskinesias,NCI,Dyskinesias,Dyskinesia
C0013384,1,Dyskinesias,NCI,Dyskinesias,Dyskinesis
C0013384,2,Dyskinesias,ICD10CM,Dyskinesias,dyskinesia
C0013384,2,Dyskinesias,NCI,Dyskinesias,Dyscinesia
C0013384,4,Dyskinesias,ICD10CM,Dyskinesias,Dyskinesia NOS
C0013390,0,Dysmenorrhea,NCI,Dysmenorrhea,Dysmenorrhea
C0013390,13,Dysmenorrhea,ICD10CM,Dysmenorrhea,"Dysmenorrhea, unspecified"
C0013393,1,Dysostoses,NCI,Dysostoses,Dysostosis
C0013395,0,Dyspepsia,ICD10CM,Dyspepsia,Dyspepsia
C0013395,0,Dyspepsia,NCI,Dyspepsia,Dyspepsia
C0013395,9,Dyspepsia,ICD10CM,Dyspepsia,Indigestion
C0013395,9,Dyspepsia,NCI,Dyspepsia,Indigestion
C0013403,0,Dysplastic Nevus Syndrome,NCI,Dysplastic Nevus Syndrome,Dysplastic Nevus Syndrome
C0013403,14,Dysplastic Nevus Syndrome,NCI,Dysplastic Nevus Syndrome,Atypical Mole Syndrome
C0013403,15,Dysplastic Nevus Syndrome,NCI,Dysplastic Nevus Syndrome,B-K Mole Syndrome
C0013403,20,Dysplastic Nevus Syndrome,NCI,Dysplastic Nevus Syndrome,Familial Dysplastic Nevi
C0013404,0,Dyspnea,ICD10CM,Dyspnea,Dyspnea
C0013404,0,Dyspnea,NCI,Dyspnea,Dyspnea
C0013404,13,Dyspnea,ICD10CM,Dyspnea,"Dyspnea, unspecified"
C0013404,16,Dyspnea,ICD10CM,Dyspnea,Shortness of breath
C0013404,16,Dyspnea,NCI,Dyspnea,Shortness of Breath
C0013418,4,Dystocia,ICD10CM,Dystocia,Dystocia NOS
C0013418,6,Dystocia,NCI,Dystocia,Labor Dystocia
C0013418,13,Dystocia,NCI,Dystocia,Dysfunctional Labor
C0013418,15,Dystocia,NCI,Dystocia,Arrest of Dilatation
C0013418,17,Dystocia,NCI,Dystocia,Failure to Progress
C0013423,2,Dystonia Musculorum Deformans,ICD10CM,Dystonia Musculorum Deformans,Dystonia musculorum deformans
C0013423,20,Dystonia Musculorum Deformans,ICD10CM,Dystonia Musculorum Deformans,Dystonia deformans progressiva
C0013423,23,Dystonia Musculorum Deformans,NCI,Dystonia Musculorum Deformans,Idiopathic Torsion Dystonia
C0013423,24,Dystonia Musculorum Deformans,ICD10CM,Dystonia Musculorum Deformans,Genetic torsion dystonia
C0013423,28,Dystonia Musculorum Deformans,ICD10CM,Dystonia Musculorum Deformans,Idiopathic (torsion) dystonia NOS
C0013423,33,Dystonia Musculorum Deformans,ICD10CM,Dystonia Musculorum Deformans,(Schwalbe-) Ziehen-Oppenheim disease
C0013428,0,Dysuria,ICD10CM,Dysuria,Dysuria
C0013428,0,Dysuria,NCI,Dysuria,Dysuria
C0013428,17,Dysuria,ICD10CM,Dysuria,Painful urination NOS
C0013428,28,Dysuria,ICD10CM,Dysuria,Pain associated with micturition
C0013428,29,Dysuria,ICD10CM,Dysuria,"Painful micturition, unspecified"
C0013447,1,Ear Diseases,NCI,Ear Diseases,Ear Disease
C0013447,4,Ear Diseases,NCI,Ear Diseases,Ear Disorder
C0013447,22,Ear Diseases,ICD10CM,Ear Diseases,Unspecified disorder of ear
C0013447,37,Ear Diseases,ICD10CM,Ear Diseases,"Unspecified disorder of ear, unspecified ear"
C0013449,0,Ear Neoplasms,NCI,Ear Neoplasms,Ear Neoplasms
C0013449,1,Ear Neoplasms,NCI,Ear Neoplasms,Ear Neoplasm
C0013449,9,Ear Neoplasms,NCI,Ear Neoplasms,Ear Tumor
C0013449,11,Ear Neoplasms,NCI,Ear Neoplasms,Neoplasm of Ear
C0013449,12,Ear Neoplasms,NCI,Ear Neoplasms,Tumor of Ear
C0013449,14,Ear Neoplasms,NCI,Ear Neoplasms,Tumor of the Ear
C0013449,15,Ear Neoplasms,NCI,Ear Neoplasms,Neoplasm of the Ear
C0013456,0,Earache,NCI,Earache,Earache
C0013456,5,Earache,NCI,Earache,Ear Pain
C0013456,7,Earache,ICD10CM,Earache,Otalgia
C0013456,20,Earache,ICD10CM,Earache,"Otalgia, unspecified ear"
C0013481,0,Ebstein Anomaly,NCI,Ebstein Anomaly,Ebstein Anomaly
C0013481,2,Ebstein Anomaly,NCI,Ebstein Anomaly,Ebstein's Anomaly
C0013481,3,Ebstein Anomaly,ICD10CM,Ebstein Anomaly,Ebstein's anomaly
C0013491,0,Ecchymosis,NCI,Ecchymosis,Ecchymosis
C0013502,0,Echinococcosis,ICD10CM,Echinococcosis,Echinococcosis
C0013502,0,Echinococcosis,NCI,Echinococcosis,Echinococcosis
C0013502,4,Echinococcosis,ICD10CM,Echinococcosis,Echinococcosis NOS
C0013502,9,Echinococcosis,ICD10CM,Echinococcosis,hydatidosis
C0013502,13,Echinococcosis,ICD10CM,Echinococcosis,"Echinococcosis, unspecified"
C0013504,19,"Echinococcosis, Hepatic",ICD10CM,"Echinococcosis, Hepatic","Echinococcosis, unspecified, of liver"
C0013514,0,Echinostomiasis,ICD10CM,Echinostomiasis,Echinostomiasis
C0013528,0,Echolalia,NCI,Echolalia,Echolalia
C0013533,5,Echovirus Infections,ICD10CM,Echovirus Infections,Echovirus infection NOS
C0013537,0,Eclampsia,ICD10CM,Eclampsia,Eclampsia
C0013537,0,Eclampsia,NCI,Eclampsia,Eclampsia
C0013537,4,Eclampsia,ICD10CM,Eclampsia,Eclampsia NOS
C0013537,31,Eclampsia,ICD10CM,Eclampsia,"Eclampsia, unspecified as to time period"
C0013570,4,"Ecthyma, Contagious",ICD10CM,"Ecthyma, Contagious",Ecthyma contagiosum
C0013570,18,"Ecthyma, Contagious",ICD10CM,"Ecthyma, Contagious",Orf virus disease
C0013570,24,"Ecthyma, Contagious",ICD10CM,"Ecthyma, Contagious",Contagious pustular dermatitis
C0013575,0,Ectodermal Dysplasia,NCI,Ectodermal Dysplasia,Ectodermal Dysplasia
C0013580,0,Ectopia Cordis,NCI,Ectopia Cordis,Ectopia Cordis
C0013581,0,Ectopia Lentis,NCI,Ectopia Lentis,Ectopia Lentis
C0013581,14,Ectopia Lentis,NCI,Ectopia Lentis,Congenital Ectopic Lens
C0013581,20,Ectopia Lentis,ICD10CM,Ectopia Lentis,Congenital displaced lens
C0013589,0,Ectromelia,NCI,Ectromelia,Ectromelia
C0013592,10,Ectropion,ICD10CM,Ectropion,Ectropion of eyelid
C0013592,23,Ectropion,ICD10CM,Ectropion,Unspecified ectropion of eyelid
C0013592,52,Ectropion,ICD10CM,Ectropion,"Unspecified ectropion of unspecified eye, unspecified eyelid"
C0013592,113,Ectropion,ICD10CM,Ectropion,"Unspecified ectropion of unspecified eye, unspecified eyelid Unspecified ectropion of unspecified eye, unspecified eyelid"
C0013595,0,Eczema,NCI,Eczema,Eczema
C0013595,4,Eczema,ICD10CM,Eczema,Eczema NOS
C0013595,13,Eczema,NCI,Eczema,Atopic Dermatitis
C0013595,15,Eczema,NCI,Eczema,Eczematous Dermatitis
C0013604,0,Edema,NCI,Edema,Edema
C0013604,13,Edema,ICD10CM,Edema,"Edema, unspecified"
C0013720,0,Ehlers-Danlos Syndrome,NCI,Ehlers-Danlos Syndrome,Ehlers-Danlos Syndrome
C0013720,1,Ehlers-Danlos Syndrome,ICD10CM,Ehlers-Danlos Syndrome,Ehlers-Danlos syndrome
C0013743,3,Eisenmenger Complex,ICD10CM,Eisenmenger Complex,Eisenmenger's complex
C0013743,8,Eisenmenger Complex,ICD10CM,Eisenmenger Complex,Eisenmenger's defect
C0013743,8,Eisenmenger Complex,NCI,Eisenmenger Complex,Eisenmenger Syndrome
C0013743,10,Eisenmenger Complex,ICD10CM,Eisenmenger Complex,Eisenmenger's syndrome
C0013743,10,Eisenmenger Complex,NCI,Eisenmenger Complex,Eisenmenger's Syndrome
C0013882,0,Elephantiasis,NCI,Elephantiasis,Elephantiasis
C0013884,10,"Elephantiasis, Filarial",ICD10CM,Filarial Elephantiases,Bancroftian elephantiasis
C0013884,16,"Elephantiasis, Filarial",NCI,Filarial Elephantiases,Lymphatic Filariasis
C0013902,9,"Elliptocytosis, Hereditary",ICD10CM,"Elliptocytosis, Hereditary",Elliptocytosis (congenital)
C0013902,22,"Elliptocytosis, Hereditary",ICD10CM,"Elliptocytosis, Hereditary",Ovalocytosis (congenital) (hereditary)
C0013902,23,"Elliptocytosis, Hereditary",NCI,"Elliptocytosis, Hereditary",Hereditary Elliptocytosis
C0013902,24,"Elliptocytosis, Hereditary",ICD10CM,"Elliptocytosis, Hereditary",Hereditary elliptocytosis
C0013903,0,Ellis-Van Creveld Syndrome,NCI,Ellis-Van Creveld Syndrome,Ellis-Van Creveld Syndrome
C0013903,2,Ellis-Van Creveld Syndrome,ICD10CM,Ellis-Van Creveld Syndrome,Ellis-van Creveld syndrome
C0013903,24,Ellis-Van Creveld Syndrome,ICD10CM,Ellis-Van Creveld Syndrome,Chondroectodermal dysplasia
C0013903,24,Ellis-Van Creveld Syndrome,NCI,Ellis-Van Creveld Syndrome,Chondroectodermal Dysplasia
C0013911,0,Emaciation,NCI,Emaciation,Emaciation
C0013922,0,Embolism,NCI,Embolism,Embolism
C0013926,0,"Embolism, Air",NCI,Air Embolism,Air Embolism
C0013926,3,"Embolism, Air",NCI,Air Embolism,Aeroembolism
C0013927,19,"Embolism, Amniotic Fluid",ICD10CM,"Embolism, Amniotic Fluid",Amniotic fluid embolism
C0013927,19,"Embolism, Amniotic Fluid",NCI,"Embolism, Amniotic Fluid",Amniotic Fluid Embolism
C0013927,25,"Embolism, Amniotic Fluid",NCI,"Embolism, Amniotic Fluid",Amniotic Fluid Embolism Syndrome
C0014008,0,Empty Sella Syndrome,NCI,Empty Sella Syndrome,Empty Sella Syndrome
C0014009,0,Empyema,NCI,Empyema,Empyema
C0014013,12,"Empyema, Pleural",ICD10CM,"Empyema, Pleural",Purulent pleurisy
C0014013,13,"Empyema, Pleural",ICD10CM,"Empyema, Pleural",Pyothorax
C0014013,13,"Empyema, Pleural",ICD10CM,"Empyema, Pleural",Suppurative pleurisy
C0014013,13,"Empyema, Pleural",NCI,"Empyema, Pleural",Pyothorax
C0014013,14,"Empyema, Pleural",ICD10CM,"Empyema, Pleural",Abscess of thorax
C0014013,15,"Empyema, Pleural",NCI,"Empyema, Pleural",Pulmonary Empyema
C0014014,17,"Empyema, Tuberculous",NCI,"Empyema, Tuberculous",Tuberculous Empyema
C0014038,0,Encephalitis,NCI,Encephalitis,Encephalitis
C0014053,21,"Encephalitis, California",ICD10CM,"Encephalitis, California",California encephalitis
C0014053,27,"Encephalitis, California",ICD10CM,"Encephalitis, California",California meningoencephalitis
C0014055,9,"Encephalitis, Arbovirus",NCI,Arbovirus Encephalitis,Epidemic Encephalitis
C0014057,0,"Encephalitis, Japanese",NCI,Japanese Encephalitis,Japanese Encephalitis
C0014057,1,"Encephalitis, Japanese",ICD10CM,Japanese Encephalitis,Japanese encephalitis
C0014057,2,"Encephalitis, Japanese",NCI,Japanese Encephalitis,Japanese B Encephalitis
C0014059,31,"Encephalomyelitis, Acute Disseminated",NCI,"Encephalomyelitis, Acute Disseminated",Acute Disseminated Encephalomyelitis
C0014059,35,"Encephalomyelitis, Acute Disseminated",NCI,"Encephalomyelitis, Acute Disseminated",ADEM
C0014060,20,"Encephalitis, St. Louis",ICD10CM,"Encephalitis, St. Louis",St Louis encephalitis
C0014061,6,"Encephalitis, Tick-Borne",NCI,Tick-Borne Encephalitis,Tick-Borne Viral Encephalitis
C0014061,8,"Encephalitis, Tick-Borne",ICD10CM,Tick-Borne Encephalitis,Tick-borne viral encephalitis
C0014061,21,"Encephalitis, Tick-Borne",ICD10CM,Tick-Borne Encephalitis,"Tick-borne viral encephalitis, unspecified"
C0014068,0,Encephalomalacia,NCI,Encephalomalacia,Encephalomalacia
C0014070,0,Encephalomyelitis,NCI,Encephalomyelitis,Encephalomyelitis
C0014072,0,"Encephalomyelitis, Autoimmune, Experimental",NCI,Experimental Autoimmune Encephalomyelitis,Experimental Autoimmune Encephalomyelitis
C0014072,9,"Encephalomyelitis, Autoimmune, Experimental",NCI,Experimental Autoimmune Encephalomyelitis,Experimental Allergic Encephalomyelitis
C0014072,38,"Encephalomyelitis, Autoimmune, Experimental",NCI,Experimental Autoimmune Encephalomyelitis,EAE
C0014077,29,"Leukoencephalitis, Acute Hemorrhagic",NCI,"Leukoencephalitis, Acute Hemorrhagic",Acute Hemorrhagic Leukoencephalitis
C0014078,7,"Encephalomyelitis, Venezuelan Equine",ICD10CM,Venezuelan Equine Encephalomyelitis,Venezuelan equine encephalitis
C0014078,15,"Encephalomyelitis, Venezuelan Equine",NCI,Venezuelan Equine Encephalomyelitis,Venezuelan Equine Fever
C0014078,16,"Encephalomyelitis, Venezuelan Equine",ICD10CM,Venezuelan Equine Encephalomyelitis,Venezuelan equine fever
C0014084,0,Enchondromatosis,ICD10CM,Enchondromatosis,Enchondromatosis
C0014084,0,Enchondromatosis,NCI,Enchondromatosis,Enchondromatosis
C0014084,8,Enchondromatosis,NCI,Enchondromatosis,Dyschondroplasia
C0014084,15,Enchondromatosis,ICD10CM,Enchondromatosis,Ollier's disease
C0014084,15,Enchondromatosis,NCI,Enchondromatosis,Ollier's Disease
C0014084,15,Enchondromatosis,NCI,Enchondromatosis,Ollier Disease
C0014089,0,Encopresis,ICD10CM,Functional encopresis,Functional encopresis
C0014089,9,Encopresis,ICD10CM,Functional encopresis,Psychogenic encopresis
C0014089,12,Encopresis,NCI,Functional encopresis,Encopresis
C0014089,32,Encopresis,ICD10CM,Functional encopresis,Incontinence of feces of nonorganic origin
C0014100,0,Endarteritis,NCI,Endarteritis,Endarteritis
C0014100,4,Endarteritis,ICD10CM,Endarteritis,Endarteritis NOS
C0014116,3,Endocardial Cushion Defects,ICD10CM,Endocardial Cushion Defects,Endocardial cushion defect
C0014117,0,Endocardial Fibroelastosis,NCI,Endocardial Fibroelastosis,Endocardial Fibroelastosis
C0014117,1,Endocardial Fibroelastosis,ICD10CM,Endocardial Fibroelastosis,Endocardial fibroelastosis
C0014117,17,Endocardial Fibroelastosis,ICD10CM,Endocardial Fibroelastosis,Elastomyofibrosis
C0014118,0,Endocarditis,NCI,Endocarditis,Endocarditis
C0014121,0,"Endocarditis, Bacterial",NCI,Bacterial Endocarditis,Bacterial Endocarditis
C0014122,0,"Endocarditis, Subacute Bacterial",NCI,Subacute Bacterial Endocarditis,Subacute Bacterial Endocarditis
C0014122,28,"Endocarditis, Subacute Bacterial",NCI,Subacute Bacterial Endocarditis,SBE
C0014130,4,Endocrine System Diseases,NCI,Endocrine System Diseases,Endocrine System Disorder
C0014130,8,Endocrine System Diseases,NCI,Endocrine System Diseases,Endocrine Disease
C0014130,11,Endocrine System Diseases,NCI,Endocrine System Diseases,Endocrine Disorder
C0014130,12,Endocrine System Diseases,ICD10CM,Endocrine System Diseases,Endocrine disturbance NOS
C0014130,15,Endocrine System Diseases,ICD10CM,Endocrine System Diseases,"Endocrine disorder, unspecified"
C0014130,16,Endocrine System Diseases,NCI,Endocrine System Diseases,Endocrinopathy
C0014130,18,Endocrine System Diseases,ICD10CM,Endocrine System Diseases,Hormone disturbance NOS
C0014130,27,Endocrine System Diseases,NCI,Endocrine System Diseases,Thyroid or other glandular disorders
C0014132,7,Endocrine Gland Neoplasms,NCI,Endocrine Gland Neoplasms,Endocrine Neoplasm
C0014132,7,Endocrine Gland Neoplasms,NCI,Endocrine Gland Neoplasms,Endocrine System Neoplasm
C0014132,14,Endocrine Gland Neoplasms,NCI,Endocrine Gland Neoplasms,Endocrine System Tumor
C0014132,14,Endocrine Gland Neoplasms,NCI,Endocrine Gland Neoplasms,Endocrine Tumor
C0014145,0,Endodermal Sinus Tumor,NCI,Yolk Sac Tumor,Yolk Sac Tumor
C0014145,8,Endodermal Sinus Tumor,NCI,Yolk Sac Tumor,Yolk Sac Neoplasm
C0014145,13,Endodermal Sinus Tumor,NCI,Yolk Sac Tumor,Endodermal Sinus Tumor
C0014145,18,Endodermal Sinus Tumor,NCI,Yolk Sac Tumor,Yolk Sac Tumour Site Unspecified
C0014145,20,Endodermal Sinus Tumor,NCI,Yolk Sac Tumor,Endodermal Sinus Neoplasm
C0014170,1,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Endometrial Neoplasm
C0014170,3,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Endometrium Neoplasm
C0014170,9,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Endometrial Tumor
C0014170,11,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Endometrium Tumor
C0014170,19,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Tumor of Endometrium
C0014170,21,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Neoplasm of Endometrium
C0014170,21,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Tumor of the Endometrium
C0014170,24,Endometrial Neoplasms,NCI,Endometrial Neoplasms,Neoplasm of the Endometrium
C0014173,0,Endometrial Hyperplasia,NCI,Endometrial Hyperplasia,Endometrial Hyperplasia
C0014173,1,Endometrial Hyperplasia,ICD10CM,Endometrial Hyperplasia,Endometrial hyperplasia
C0014173,14,Endometrial Hyperplasia,ICD10CM,Endometrial Hyperplasia,"Endometrial hyperplasia, unspecified"
C0014173,23,Endometrial Hyperplasia,NCI,Endometrial Hyperplasia,Hyperplasia of Endometrium
C0014173,26,Endometrial Hyperplasia,NCI,Endometrial Hyperplasia,Hyperplasia of the Endometrium
C0014175,0,Endometriosis,ICD10CM,Endometriosis,Endometriosis
C0014175,0,Endometriosis,NCI,Endometriosis,Endometriosis
C0014175,13,Endometriosis,ICD10CM,Endometriosis,"Endometriosis, unspecified"
C0014179,0,Endometritis,NCI,Endometritis,Endometritis
C0014179,14,Endometritis,NCI,Endometritis,Uterine Infection
C0014236,0,Endophthalmitis,NCI,Endophthalmitis,Endophthalmitis
C0014306,0,Enophthalmos,ICD10CM,Enophthalmos,Enophthalmos
C0014306,0,Enophthalmos,NCI,Enophthalmos,Enophthalmos
C0014306,1,Enophthalmos,NCI,Enophthalmos,Enopthalmos
C0014306,13,Enophthalmos,ICD10CM,Enophthalmos,Unspecified enophthalmos
C0014335,0,Enteritis,NCI,Enteritis,Enteritis
C0014335,4,Enteritis,ICD10CM,Enteritis,Enteritis NOS
C0014356,0,Enterocolitis,NCI,Enterocolitis,Enterocolitis
C0014378,13,Enterovirus Infections,ICD10CM,Enterovirus Infections,"Enterovirus infection, unspecified"
C0014394,0,Enuresis,NCI,Enuresis,Enuresis
C0014394,4,Enuresis,ICD10CM,Enuresis,Enuresis NOS
C0014457,0,Eosinophilia,ICD10CM,Eosinophilia,Eosinophilia
C0014461,0,Eosinophilic Granuloma,NCI,Eosinophilic Granuloma,Eosinophilic Granuloma
C0014461,1,Eosinophilic Granuloma,ICD10CM,Eosinophilic Granuloma,Eosinophilic granuloma
C0014461,13,Eosinophilic Granuloma,NCI,Eosinophilic Granuloma,Eosinophilic Xanthomatous Granuloma
C0014474,0,Ependymoma,NCI,Ependymoma,Ependymoma
C0014474,20,Ependymoma,NCI,Ependymoma,WHO Grade II Ependymal Tumor
C0014474,22,Ependymoma,NCI,Ependymoma,WHO Grade II Ependymal Neoplasm
C0014511,0,Epidermal Cyst,NCI,Epithelial Cyst,Epithelial Cyst
C0014511,4,Epidermal Cyst,NCI,Epithelial Cyst,Epidermal Cyst
C0014511,5,Epidermal Cyst,ICD10CM,Epithelial Cyst,Epidermal cyst
C0014511,7,Epidermal Cyst,NCI,Epithelial Cyst,Epidermoid Cyst
C0014511,8,Epidermal Cyst,ICD10CM,Epithelial Cyst,Epidermoid cyst
C0014511,9,Epidermal Cyst,NCI,Epithelial Cyst,Sebaceous Cyst
C0014511,9,Epidermal Cyst,NCI,Epithelial Cyst,Keratin Cyst
C0014511,10,Epidermal Cyst,ICD10CM,Epithelial Cyst,Sebaceous cyst
C0014511,10,Epidermal Cyst,NCI,Epithelial Cyst,Keratinizing Cyst
C0014511,10,Epidermal Cyst,NCI,Epithelial Cyst,Keratinous Cyst
C0014511,11,Epidermal Cyst,NCI,Epithelial Cyst,Infundibular Cyst
C0014511,20,Epidermal Cyst,NCI,Epithelial Cyst,Follicular Infundibular Cyst
C0014522,0,Epidermodysplasia Verruciformis,NCI,Epidermodysplasia Verruciformis,Epidermodysplasia Verruciformis
C0014522,28,Epidermodysplasia Verruciformis,NCI,Epidermodysplasia Verruciformis,Lewandowsky-Lutz Dysplasia
C0014522,29,Epidermodysplasia Verruciformis,NCI,Epidermodysplasia Verruciformis,EV
C0014527,0,Epidermolysis Bullosa,NCI,Epidermolysis Bullosa,Epidermolysis Bullosa
C0014527,1,Epidermolysis Bullosa,ICD10CM,Epidermolysis Bullosa,Epidermolysis bullosa
C0014527,14,Epidermolysis Bullosa,ICD10CM,Epidermolysis Bullosa,"Epidermolysis bullosa, unspecified"
C0014534,0,Epididymitis,ICD10CM,Epididymitis,Epididymitis
C0014536,1,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Neoplasm
C0014536,5,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Neoplasm
C0014536,7,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Spinal Neoplasms
C0014536,9,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Tumor
C0014536,10,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Spinal Tumors
C0014536,11,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Spinal Neoplasms
C0014536,13,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Tumor
C0014536,14,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Spinal Canal Neoplasm
C0014536,14,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Spinal Tumors
C0014536,15,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Spinal Canal Tumors
C0014536,15,Epidural Neoplasms,NCI,Epidural Neoplasms,Epidural Spinal Canal Tumor
C0014536,17,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Spinal Canal Neoplasms
C0014536,18,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Spinal Canal Neoplasm
C0014536,19,Epidural Neoplasms,NCI,Epidural Neoplasms,Tumor of Epidural Spinal Canal
C0014536,19,Epidural Neoplasms,NCI,Epidural Neoplasms,Extradural Spinal Canal Tumor
C0014536,22,Epidural Neoplasms,NCI,Epidural Neoplasms,Neoplasm of Epidural Spinal Canal
C0014536,23,Epidural Neoplasms,NCI,Epidural Neoplasms,Tumor of the Epidural Spinal Canal
C0014536,23,Epidural Neoplasms,NCI,Epidural Neoplasms,Tumor of Extradural Spinal Canal
C0014536,26,Epidural Neoplasms,NCI,Epidural Neoplasms,Neoplasm of the Epidural Spinal Canal
C0014536,26,Epidural Neoplasms,NCI,Epidural Neoplasms,Neoplasm of Extradural Spinal Canal
C0014536,27,Epidural Neoplasms,NCI,Epidural Neoplasms,Tumor of the Extradural Spinal Canal
C0014536,30,Epidural Neoplasms,NCI,Epidural Neoplasms,Neoplasm of the Extradural Spinal Canal
C0014541,0,Epiglottitis,NCI,Epiglottitis,Epiglottitis
C0014541,4,Epiglottitis,ICD10CM,Epiglottitis,Epiglottitis NOS
C0014544,0,Epilepsy,NCI,Epilepsy,Epilepsy
C0014544,4,Epilepsy,ICD10CM,Epilepsy,Epilepsy NOS
C0014544,11,Epilepsy,ICD10CM,Epilepsy,Epileptic fits NOS
C0014544,13,Epilepsy,ICD10CM,Epilepsy,"Epilepsy, unspecified"
C0014544,13,Epilepsy,NCI,Epilepsy,Seizure Disorder
C0014544,15,Epilepsy,ICD10CM,Epilepsy,Epileptic seizures NOS
C0014544,17,Epilepsy,ICD10CM,Epilepsy,Seizure disorder NOS
C0014544,18,Epilepsy,ICD10CM,Epilepsy,Epileptic convulsions NOS
C0014547,18,"Epilepsies, Partial",NCI,"Epilepsies, Partial",Partial Epilepsy
C0014548,19,"Epilepsy, Generalized",NCI,"Epilepsy, Generalized",Generalized Epilepsy
C0014549,11,"Epilepsy, Tonic-Clonic",NCI,Tonic-Clonic Epilepsy,Grand Mal Epilepsy
C0014553,0,"Epilepsy, Absence",NCI,Absence Epilepsy,Absence Epilepsy
C0014553,9,"Epilepsy, Absence",NCI,Absence Epilepsy,Petit Mal Epilepsy
C0014571,10,"Epiphyses, Slipped",NCI,"Epiphyses, Slipped",Epiphysiolysis
C0014588,0,Epispadias,ICD10CM,Epispadias,Epispadias
C0014588,0,Epispadias,NCI,Epispadias,Epispadias
C0014591,0,Epistaxis,ICD10CM,Epistaxis,Epistaxis
